City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,isagarh,24.8333,77.8833,23.900000000000034,92,100,9.77,IN,1722798271
281,dunedin,-45.8742,170.5036,7.110000000000014,64,100,5.99,NZ,1722798272
282,saint-pierre,-21.3393,55.4781,17.82000000000005,72,0,1.03,RE,1722797980
283,santo antonio,-6.3106,-35.4789,26.680000000000007,59,70,7.26,BR,1722798275
284,tura,25.5198,90.2201,24.010000000000048,98,100,1.84,IN,1722798276
285,jipijapa,-1.3333,-80.5833,26.720000000000027,70,92,2.52,EC,1722798277
286,vilyuchinsk,52.9306,158.4028,9.150000000000034,83,4,0.83,RU,1722798278
287,ascension,30.2169,-90.9001,35.0,58,40,2.06,US,1722798279
288,perugorria,-29.3413,-58.6106,15.110000000000014,88,100,4.2,AR,1722798280
289,akrehamn,59.2667,5.1833,16.230000000000018,67,20,3.6,NO,1722798282
290,ndele,8.4109,20.6473,20.610000000000014,95,100,1.08,CF,1722798283
291,huarmey,-10.0681,-78.1522,20.670000000000016,67,5,5.8,PE,1722798285
292,dimbokro,6.6451,-4.7048,25.25,75,100,1.38,CI,1722798286
293,khovd,48.0056,91.6419,21.120000000000005,30,0,2.24,MN,1722798193
294,plastun,44.7561,136.2939,11.800000000000011,96,56,0.86,RU,1722798289
295,tinogasta,-28.0632,-67.5649,22.03000000000003,16,0,4.58,AR,1722798290
296,opuwo,-18.0607,13.84,20.360000000000014,30,0,2.83,NA,1722798291
297,san angelo,31.4638,-100.437,35.879999999999995,34,0,4.12,US,1722798094
298,nuku'alofa,-21.1333,-175.2,21.189999999999998,83,100,3.09,TO,1722798293
299,bamboo flat,11.7,92.7167,26.05000000000001,89,75,0.51,IN,1722798295
300,enriquillo,17.9,-71.2333,32.82000000000005,63,11,5.14,DO,1722798296
301,tangalle,6.024,80.7911,27.090000000000032,82,100,5.06,LK,1722798297
302,al qadarif,14.0349,35.3834,26.890000000000043,72,100,4.17,SD,1722798298
303,lerwick,60.1545,-1.1494,15.0,84,99,8.94,GB,1722798299
304,vanimo,-2.6741,141.3028,24.640000000000043,91,100,2.13,PG,1722798301
305,ain oussera,35.4514,2.9058,30.390000000000043,20,0,5.33,DZ,1722798302
306,kolonia town,6.964,158.206,25.0,94,40,1.03,FM,1722798304
307,kartaly,53.0522,60.6467,15.28000000000003,91,83,4.4,RU,1722798306
308,karasuk,53.7377,78.0403,18.77000000000004,65,100,2.44,RU,1722798307
309,midvagur,62.0511,-7.1939,11.460000000000036,100,100,12.35,FO,1722798308
310,nema,57.5067,50.5011,17.970000000000027,78,100,2.55,RU,1722798309
311,kone,-21.0595,164.8658,15.450000000000045,73,51,1.61,NC,1722798310
312,tobruk,32.0836,23.9764,27.03000000000003,80,0,4.03,LY,1722798311
313,puke,42.0444,19.8997,21.03000000000003,39,99,3.15,AL,1722798313
314,keelung,25.1283,121.7419,29.410000000000025,80,5,2.66,TW,1722798111
315,krasnyy chikoy,50.3643,108.7512,12.980000000000018,94,0,1.19,RU,1722798315
316,pandan,14.0453,124.1694,26.57000000000005,86,54,2.54,PH,1722798316
317,guarapari,-20.6667,-40.4975,24.33000000000004,73,3,4.77,BR,1722798002
318,san clemente del tuyu,-36.3569,-56.7235,12.610000000000014,60,95,2.41,AR,1722798319
319,barra de santo antonio,-9.4047,-35.5072,24.600000000000023,78,3,6.63,BR,1722798095
320,kitami,43.8031,143.8908,15.270000000000039,99,100,1.4,JP,1722798321
321,greymouth,-42.4667,171.2,5.53000000000003,87,100,2.31,NZ,1722798322
322,zhukovo,55.0318,36.744,17.54000000000002,83,0,1.76,RU,1722798323
323,el idrissia,34.4454,2.5275,28.33000000000004,14,0,4.34,DZ,1722798324
324,naracoorte,-36.9579,140.7383,6.710000000000036,69,100,2.16,AU,1722798208
325,vila velha,-20.3297,-40.2925,21.970000000000027,94,75,2.57,BR,1722798066
326,quellon,-43.1167,-73.6167,6.900000000000034,96,100,2.44,CL,1722798329
327,pisco,-13.7,-76.2167,17.230000000000018,82,100,2.57,PE,1722798330
328,tiruchchendur,8.4833,78.1167,28.170000000000016,66,100,4.87,IN,1722798332
329,santiago,-33.4569,-70.6483,16.439999999999998,58,75,2.24,CL,1722798035
330,kourou,5.1552,-52.6478,28.03000000000003,73,100,5.09,GF,1722798334
